,component_id,component_connection_type
1221,C-2011,[]
1222,C-0997,[]
1223,C-0998,[]
1224,C-1170,[]
1225,C-0919,[]
1226,C-1003,[]
1227,C-1517,[]
1228,C-0781,[]
1229,C-1523,[]
1230,C-1017,[]
1231,C-1023,[]
1232,C-0200,[]
1233,C-1030,[]
1234,C-1051,[]
1235,C-1038,[]
1236,C-1047,[]
1237,C-1046,[]
1238,C-1050,[]
1239,C-1052,[]
1240,C-1891,[]
1241,C-1279,[]
1242,C-1090,[]
1243,C-1133,[]
1244,C-1062,[]
1245,C-0763,[]
1246,C-1028,[]
1247,C-0907,[]
1248,C-1040,[]
1249,C-1048,[]
1250,C-1077,[]
1251,C-1042,[]
1252,C-1085,[]
1253,C-0302,[]
1254,C-1044,[]
1255,C-1094,[]
1256,C-1100,[]
1257,C-1101,[]
1258,C-1108,[]
1259,C-0490,[]
1260,C-1125,[]
1261,C-1086,[]
1262,C-0153,[]
1263,C-1114,[]
1264,C-1118,[]
1265,C-1131,[]
1266,C-1075,[]
1267,C-1136,[]
1268,C-1137,[]
1269,C-1139,[]
1270,C-1167,[]
1271,C-1165,[]
1272,C-0287,[]
1273,C-1153,[]
1274,C-0884,[]
1275,C-0889,[]
1276,C-1154,[]
1277,C-1155,[]
1278,C-1156,[]
1279,C-1159,[]
1280,C-1163,[]
1281,C-1162,[]
1282,C-1166,[]
1283,C-1175,[]
1284,C-1176,[]
1285,C-1177,[]
1286,C-1178,[]
1287,C-1179,[]
1288,C-0925,[]
1289,C-1181,[]
1290,C-1188,[]
1291,C-1190,[]
1292,C-1191,[]
1293,C-1246,[]
1294,C-1252,[]
1295,C-1472,[]
1296,C-1473,[]
1297,C-1099,[]
1298,C-1265,[]
1299,C-1148,[]
1300,C-1280,[]
1301,C-1273,[]
1302,C-1266,[]
1303,C-1272,[]
1304,C-1293,[]
1305,C-1275,[]
1306,C-1276,[]
1307,C-1289,[]
1308,C-1281,[]
1309,C-1305,[]
1310,C-1307,[]
1311,C-1288,[]
1312,C-0531,[]
1313,C-1290,[]
1314,C-1291,[]
1315,C-1292,[]
1316,C-1185,[]
1317,C-1264,[]
1318,C-1295,[]
1319,C-1297,[]
1320,C-1302,[]
1321,C-1301,[]
1322,C-0224,[]
1323,C-1322,[]
1324,C-1201,[]
1325,C-1396,[]
1326,C-1395,[]
1327,C-1938,[]
1328,C-1388,[]
1329,C-1569,[]
1330,C-0431,[]
1331,C-0429,[]
1332,C-1709,[]
1333,C-1915,[]
1334,C-1916,[]
1335,C-1237,[]
1336,C-1918,[]
1337,C-1797,[]
1338,C-1730,[]
1339,C-1325,[]
1340,C-0025,[]
1341,C-0033,[]
1342,C-1847,[]
1343,C-1852,[]
1344,C-1810,[]
1345,C-1574,[]
1346,C-1766,[]
1347,C-1961,[]
1348,C-0256,[]
1349,C-1929,[]
1350,C-0291,[]
1351,C-0290,[]
1352,C-0327,[]
1353,C-0311,[]
1354,C-1878,[]
1355,C-1979,[]
1356,C-0350,[]
1357,C-0276,[]
1358,C-0381,[]
1359,C-0384,[]
1360,C-0629,[]
1361,C-0535,[]
1362,C-0560,[]
1363,C-1516,[]
1364,C-0571,[]
1365,C-0589,[]
1366,C-0594,[]
1367,C-0595,[]
1368,C-0659,[]
1369,C-0574,[]
1370,C-1522,[]
1371,C-0686,[]
1372,C-0687,[]
1373,C-0184,[]
1374,C-0712,[]
1375,C-0730,[]
1376,C-0754,[]
1377,C-1525,[]
1378,C-0758,[]
1379,C-0856,[]
1380,C-2037,[]
1381,C-0897,[]
1382,C-0928,[]
1383,C-0669,[]
1384,C-1597,[]
1385,C-0670,[]
1386,C-0969,[]
1387,C-0786,[]
1388,C-0985,[]
1389,C-2013,[]
1390,C-0935,[]
1391,C-1306,[]
1392,C-1146,[]
1393,C-0633,[]
1394,C-1018,[]
1395,C-1025,[]
1396,C-1033,[]
1397,C-1031,[]
1398,C-1060,[]
1399,C-1053,[]
1400,C-1056,[]
1401,C-1057,[]
1402,C-1091,[]
1403,C-1063,[]
1404,C-1079,[]
1405,C-1111,[]
1406,C-1008,[]
1407,C-0491,[]
1408,C-1122,[]
1409,C-1128,[]
1410,C-1134,[]
1411,C-1140,[]
1412,C-1161,[]
1413,C-1164,[]
1414,C-1277,[]
1415,C-0937,[]
1416,C-1263,[]
1417,C-1269,[]
1418,C-1274,[]
1419,C-1285,[]
1420,C-1287,[]
1421,C-1282,[]
1422,C-1286,[]
1423,C-1284,[]
1424,C-1186,[]
1425,C-1296,[]
1426,C-1299,[]
1427,C-1304,[]
1428,C-1519,[]
1429,C-1529,[]
1430,C-1930,[]
1431,C-0026,[]
1432,C-0176,[]
1433,C-0351,[]
1434,C-0277,[]
1435,C-0630,[]
1436,C-0660,[]
1437,C-1982,[]
1438,C-0662,[]
1439,C-0489,[]
1440,C-0692,[]
1441,C-0857,[]
1442,C-0204,[]
1443,C-0671,[]
1444,C-0918,[]
1445,C-0986,[]
1446,C-0936,[]
1447,C-0908,[]
1448,C-1002,[]
1449,C-1026,[]
1450,C-1054,[]
1451,C-1092,[]
1452,C-1064,[]
1453,C-1087,[]
1454,C-1088,[]
1455,C-1129,[]
1456,C-1073,[]
1457,C-1173,[]
1458,C-1270,[]
1459,C-1267,[]
1460,C-1294,[]
1461,C-1991,[]
1462,C-0148,[]
1463,C-0352,[]
1464,C-0379,[]
1465,C-0289,[]
1466,C-0664,[]
1467,C-0665,[]
1468,C-0666,[]
1469,C-0690,[]
1470,C-0691,[]
1471,C-0693,[]
1472,C-0694,[]
1473,C-0756,[]
1474,C-0858,[]
1475,C-0870,[]
1476,C-0798,[]
1477,C-0753,[]
1478,C-0981,[]
1479,C-0991,[]
1480,C-0909,[]
1481,C-1012,[]
1482,C-1016,[]
1483,C-1055,[]
1484,C-1084,[]
1485,C-1147,[]
1486,C-1271,[]
1487,C-0279,[]
1488,C-0353,[]
1489,C-0557,[]
1490,C-0663,[]
1491,C-0695,[]
1492,C-0933,[]
1493,C-0967,[]
1494,C-0992,[]
1495,C-1011,[]
1496,C-1015,[]
1497,C-1070,[]
1498,C-0934,[]
1499,C-0355,[]
1500,C-0968,[]
1501,C-1049,[]
1502,9999,[]
1503,C-0872,[]
1504,C-0873,[]
1505,C-0874,[]
1506,C-1039,[]
1507,C-1041,[]
1508,C-1043,[]
1509,C-0013,[]
1510,C-0016,[]
1511,C-0017,[]
1512,C-0018,[]
1513,C-0021,[]
1514,C-0022,[]
1515,C-0023,[]
1516,C-0028,[]
1517,C-0042,[]
1518,C-0061,[]
1519,C-0063,[]
1520,C-0065,[]
1521,C-0066,[]
1522,C-0075,[]
1523,C-0076,[]
1524,C-0090,[]
1525,C-0094,[]
1526,C-0104,[]
1527,C-0105,[]
1528,C-0106,[]
1529,C-0107,[]
1530,C-0140,[]
1531,C-0143,[]
1532,C-0152,[]
1533,C-0160,[]
1534,C-0163,[]
1535,C-0169,[]
1536,C-0175,[]
1537,C-0187,[]
1538,C-0188,[]
1539,C-0192,[]
1540,C-0207,[]
1541,C-0238,[]
1542,C-0254,[]
1543,C-0259,[]
1544,C-0266,[]
1545,C-0273,[]
1546,C-0284,[]
1547,C-0285,[]
1548,C-0296,[]
1549,C-0303,[]
1550,C-0320,[]
1551,C-0331,[]
1552,C-0367,[]
1553,C-0394,[]
1554,C-0401,[]
1555,C-0407,[]
1556,C-0447,[]
1557,C-0464,[]
1558,C-0501,[]
1559,C-0516,[]
1560,C-0526,[]
1561,C-0537,[]
1562,C-0565,[]
1563,C-0566,[]
1564,C-0567,[]
1565,C-0585,[]
1566,C-0598,[]
1567,C-0608,[]
1568,C-0615,[]
1569,C-0616,[]
1570,C-0625,[]
1571,C-0646,[]
1572,C-0688,[]
1573,C-0789,[]
1574,C-0802,[]
1575,C-0820,[]
1576,C-0821,[]
1577,C-0822,[]
1578,C-0839,[]
1579,C-0905,[]
1580,C-0910,[]
1581,C-0931,[]
1582,C-0943,[]
1583,C-0956,[]
1584,C-0963,[]
1585,C-0972,[]
1586,C-0999,[]
1587,C-1004,[]
1588,C-1006,[]
1589,C-1024,[]
1590,C-1069,[]
1591,C-1208,[]
1592,C-1239,[]
1593,C-1247,[]
1594,C-1255,[]
1595,C-1317,[]
1596,C-1327,[]
1597,C-1331,[]
1598,C-1333,[]
1599,C-1334,[]
1600,C-1335,[]
1601,C-1336,[]
1602,C-1337,[]
1603,C-1339,[]
1604,C-1345,[]
1605,C-1348,[]
1606,C-1349,[]
1607,C-1350,[]
1608,C-1362,[]
1609,C-1363,[]
1610,C-1378,[]
1611,C-1389,[]
1612,C-1404,[]
1613,C-1405,[]
1614,C-1409,[]
1615,C-1419,[]
1616,C-1428,[]
1617,C-1429,[]
1618,C-1432,[]
1619,C-1488,[]
1620,C-1500,[]
1621,C-1514,[]
1622,C-1527,[]
1623,C-1538,[]
1624,C-1539,[]
1625,C-1542,[]
1626,C-1565,[]
1627,C-1566,[]
1628,C-1575,[]
1629,C-1576,[]
1630,C-1585,[]
1631,C-1586,[]
1632,C-1587,[]
1633,C-1588,[]
1634,C-1589,[]
1635,C-1598,[]
1636,C-1599,[]
1637,C-1600,[]
1638,C-1601,[]
1639,C-1602,[]
1640,C-1603,[]
1641,C-1604,[]
1642,C-1605,[]
1643,C-1606,[]
1644,C-1607,[]
1645,C-1608,[]
1646,C-1609,[]
1647,C-1610,[]
1648,C-1611,[]
1649,C-1612,[]
1650,C-1613,[]
1651,C-1636,[]
1652,C-1681,[]
1653,C-1686,[]
1654,C-1726,[]
1655,C-1733,[]
1656,C-1744,[]
1657,C-1759,[]
1658,C-1769,[]
1659,C-1774,[]
1660,C-1782,[]
1661,C-1783,[]
1662,C-1786,[]
1663,C-1788,[]
1664,C-1803,[]
1665,C-1816,[]
1666,C-1819,[]
1667,C-1820,[]
1668,C-1821,[]
1669,C-1826,[]
1670,C-1829,[]
1671,C-1842,[]
1672,C-1853,[]
1673,C-1863,[]
1674,C-1872,[]
1675,C-1896,[]
1676,C-1899,[]
1677,C-1905,[]
1678,C-1931,[]
1679,C-1935,[]
1680,C-1948,[]
1681,C-1951,[]
1682,C-1989,[]
1683,C-1992,[]
1684,C-2010,[]
1685,C-2024,[]
1686,C-2031,[]
1687,C-0012,[]
1688,C-0014,[]
1689,C-0015,[]
1690,C-0019,[]
1691,C-0029,[]
1692,C-0036,[]
1693,C-0038,[]
1694,C-0046,[]
1695,C-0062,[]
1696,C-0079,[]
1697,C-0080,[]
1698,C-0081,[]
1699,C-0086,[]
1700,C-0093,[]
1701,C-0110,[]
1702,C-0115,[]
1703,C-0122,[]
1704,C-0131,[]
1705,C-0132,[]
1706,C-0137,[]
1707,C-0138,[]
1708,C-0141,[]
1709,C-0142,[]
1710,C-0146,[]
1711,C-0147,[]
1712,C-0150,[]
1713,C-0154,[]
1714,C-0156,[]
1715,C-0157,[]
1716,C-0158,[]
1717,C-0162,[]
1718,C-0166,[]
1719,C-0170,[]
1720,C-0172,[]
1721,C-0174,[]
1722,C-0190,[]
1723,C-0191,[]
1724,C-0193,[]
1725,C-0202,[]
1726,C-0205,[]
1727,C-0219,[]
1728,C-0220,[]
1729,C-0221,[]
1730,C-0229,[]
1731,C-0231,[]
1732,C-0237,[]
1733,C-0244,[]
1734,C-0246,[]
1735,C-0247,[]
1736,C-0250,[]
1737,C-0268,[]
1738,C-0275,[]
1739,C-0292,[]
1740,C-0295,[]
1741,C-0306,[]
1742,C-0325,[]
1743,C-0332,[]
1744,C-0333,[]
1745,C-0334,[]
1746,C-0335,[]
1747,C-0342,[]
1748,C-0343,[]
1749,C-0344,[]
1750,C-0359,[]
1751,C-0360,[]
1752,C-0362,[]
1753,C-0370,[]
1754,C-0380,[]
1755,C-0385,[]
1756,C-0392,[]
1757,C-0398,[]
1758,C-0400,[]
1759,C-0403,[]
1760,C-0406,[]
1761,C-0423,[]
1762,C-0434,[]
1763,C-0450,[]
1764,C-0451,[]
1765,C-0452,[]
1766,C-0453,[]
1767,C-0456,[]
1768,C-0457,[]
1769,C-0458,[]
1770,C-0459,[]
1771,C-0460,[]
1772,C-0461,[]
1773,C-0462,[]
1774,C-0463,[]
1775,C-0465,[]
1776,C-0466,[]
1777,C-0468,[]
1778,C-0471,[]
1779,C-0479,[]
1780,C-0480,[]
1781,C-0485,[]
1782,C-0492,[]
1783,C-0498,[]
1784,C-0500,[]
1785,C-0509,[]
1786,C-0510,[]
1787,C-0532,[]
1788,C-0538,[]
1789,C-0543,[]
1790,C-0546,[]
1791,C-0551,[]
1792,C-0554,[]
1793,C-0568,[]
1794,C-0573,[]
1795,C-0591,[]
1796,C-0599,[]
1797,C-0601,[]
1798,C-0602,[]
1799,C-0606,[]
1800,C-0612,[]
1801,C-0618,[]
1802,C-0619,[]
1803,C-0621,[]
1804,C-0622,[]
1805,C-0628,[]
1806,C-0632,[]
1807,C-0652,[]
1808,C-0653,[]
1809,C-0679,[]
1810,C-0698,[]
1811,C-0703,[]
1812,C-0709,[]
1813,C-0722,[]
1814,C-0732,[]
1815,C-0734,[]
1816,C-0737,[]
1817,C-0739,[]
1818,C-0741,[]
1819,C-0747,[]
1820,C-0748,[]
1821,C-0750,[]
1822,C-0761,[]
1823,C-0778,[]
1824,C-0782,[]
1825,C-0787,[]
1826,C-0792,[]
1827,C-0799,[]
1828,C-0808,[]
1829,C-0819,[]
1830,C-0829,[]
1831,C-0836,[]
1832,C-0840,[]
1833,C-0846,[]
1834,C-0850,[]
1835,C-0875,[]
1836,C-0880,[]
1837,C-0881,[]
1838,C-0894,[]
1839,C-0917,[]
1840,C-0927,[]
1841,C-0940,[]
1842,C-0941,[]
1843,C-0942,[]
1844,C-0944,[]
1845,C-0946,[]
1846,C-0959,[]
1847,C-0960,[]
1848,C-0961,[]
1849,C-0966,[]
1850,C-0970,[]
1851,C-0973,[]
1852,C-0976,[]
1853,C-0977,[]
1854,C-0978,[]
1855,C-0994,[]
1856,C-1005,[]
1857,C-1014,[]
1858,C-1066,[]
1859,C-1071,[]
1860,C-1113,[]
1861,C-1115,[]
1862,C-1145,[]
1863,C-1203,[]
1864,C-1207,[]
1865,C-1210,[]
1866,C-1212,[]
1867,C-1224,[]
1868,C-1234,[]
1869,C-1235,[]
1870,C-1236,[]
1871,C-1242,[]
1872,C-1245,[]
1873,C-1314,[]
1874,C-1315,[]
1875,C-1326,[]
1876,C-1328,[]
1877,C-1329,[]
1878,C-1342,[]
1879,C-1343,[]
1880,C-1344,[]
1881,C-1346,[]
1882,C-1347,[]
1883,C-1351,[]
1884,C-1352,[]
1885,C-1354,[]
1886,C-1357,[]
1887,C-1365,[]
1888,C-1368,[]
1889,C-1370,[]
1890,C-1373,[]
1891,C-1376,[]
1892,C-1390,[]
1893,C-1392,[]
1894,C-1394,[]
1895,C-1407,[]
1896,C-1408,[]
1897,C-1412,[]
1898,C-1413,[]
1899,C-1415,[]
1900,C-1418,[]
1901,C-1427,[]
1902,C-1430,[]
1903,C-1433,[]
1904,C-1434,[]
1905,C-1440,[]
1906,C-1444,[]
1907,C-1446,[]
1908,C-1447,[]
1909,C-1448,[]
1910,C-1449,[]
1911,C-1450,[]
1912,C-1451,[]
1913,C-1454,[]
1914,C-1455,[]
1915,C-1456,[]
1916,C-1457,[]
1917,C-1458,[]
1918,C-1459,[]
1919,C-1460,[]
1920,C-1461,[]
1921,C-1462,[]
1922,C-1463,[]
1923,C-1464,[]
1924,C-1465,[]
1925,C-1467,[]
1926,C-1471,[]
1927,C-1482,[]
1928,C-1484,[]
1929,C-1487,[]
1930,C-1492,[]
1931,C-1493,[]
1932,C-1494,[]
1933,C-1495,[]
1934,C-1501,[]
1935,C-1513,[]
1936,C-1518,[]
1937,C-1520,[]
1938,C-1534,[]
1939,C-1543,[]
1940,C-1544,[]
1941,C-1545,[]
1942,C-1549,[]
1943,C-1551,[]
1944,C-1552,[]
1945,C-1553,[]
1946,C-1555,[]
1947,C-1568,[]
1948,C-1590,[]
1949,C-1591,[]
1950,C-1592,[]
1951,C-1594,[]
1952,C-1614,[]
1953,C-1615,[]
1954,C-1616,[]
1955,C-1617,[]
1956,C-1665,[]
1957,C-1670,[]
1958,C-1673,[]
1959,C-1678,[]
1960,C-1680,[]
1961,C-1682,[]
1962,C-1683,[]
1963,C-1684,[]
1964,C-1685,[]
1965,C-1687,[]
1966,C-1705,[]
1967,C-1706,[]
1968,C-1711,[]
1969,C-1712,[]
1970,C-1713,[]
1971,C-1717,[]
1972,C-1719,[]
1973,C-1720,[]
1974,C-1721,[]
1975,C-1734,[]
1976,C-1736,[]
1977,C-1739,[]
1978,C-1740,[]
1979,C-1746,[]
1980,C-1747,[]
1981,C-1749,[]
1982,C-1750,[]
1983,C-1762,[]
1984,C-1763,[]
1985,C-1768,[]
1986,C-1770,[]
1987,C-1771,[]
1988,C-1772,[]
1989,C-1773,[]
1990,C-1775,[]
1991,C-1784,[]
1992,C-1785,[]
1993,C-1792,[]
1994,C-1795,[]
1995,C-1796,[]
1996,C-1798,[]
1997,C-1801,[]
1998,C-1804,[]
1999,C-1805,[]
2000,C-1806,[]
2001,C-1807,[]
2002,C-1811,[]
2003,C-1834,[]
2004,C-1843,[]
2005,C-1849,[]
2006,C-1854,[]
2007,C-1855,[]
2008,C-1880,[]
2009,C-1881,[]
2010,C-1882,[]
2011,C-1883,[]
2012,C-1884,[]
2013,C-1886,[]
2014,C-1887,[]
2015,C-1890,[]
2016,C-1893,[]
2017,C-1894,[]
2018,C-1895,[]
2019,C-1897,[]
2020,C-1900,[]
2021,C-1901,[]
2022,C-1904,[]
2023,C-1943,[]
2024,C-1946,[]
2025,C-1947,[]
2026,C-1953,[]
2027,C-1956,[]
2028,C-1958,[]
2029,C-1983,[]
2030,C-1986,[]
2031,C-1996,[]
2032,C-1997,[]
2033,C-1999,[]
2034,C-2000,[]
2035,C-2009,[]
2036,C-2015,[]
2037,C-2016,[]
2038,C-2017,[]
2039,C-2018,[]
2040,C-2019,[]
2041,C-2020,[]
2042,C-2021,[]
2043,C-2022,[]
2044,C-2023,[]
2045,C-2034,[]
2046,C-2043,[]
2047,C-2044,[]
